"Probe_IDs"	"Symbols"	"Entrez_IDs"	"CHR"	"Ensembl_IDs"	"Start.Pos"	"End.Pos"
"20"	"ILMN_1651385"	"MFN2"	"9927"	"1"	"ENSG00000116688"	"11980181"	"12013514"
"21"	"ILMN_1651405"	"BRD9"	"65980"	"5"	"ENSG00000028310"	"850291"	"892801"
"22"	"ILMN_1651415"	"DERL3"	"91319"	"CHR_HSCHR22_1_CTG7"	"ENSG00000274437"	"23834503"	"23839128"
"23"	"ILMN_1651429"	"SELENOM"	"140606"	"22"	"ENSG00000198832"	"31104772"	"31120069"
"24"	"ILMN_1651438"	"ZFPM1"	"161882"	"16"	"ENSG00000179588"	"88453280"	"88537031"
"25"	"ILMN_1651496"	"H2BC6"	"8344"	"6"	"ENSG00000274290"	"26172059"	"26184655"
"26"	"ILMN_1651499"	"ERGIC1"	"57222"	"5"	"ENSG00000113719"	"172834251"	"172952683"
"27"	"ILMN_1651501"	"ABCD4"	"5826"	"14"	"ENSG00000119688"	"74285269"	"74303055"
"28"	"ILMN_1651504"	"FAM193A"	"8603"	"4"	"ENSG00000125386"	"2536631"	"2732565"
"29"	"ILMN_1651506"	"TGS1"	"96764"	"8"	"ENSG00000137574"	"55773446"	"55826445"
"30"	"ILMN_1651513"	"MTREX"	"23517"	"5"	"ENSG00000039123"	"55307989"	"55425579"
"31"	"ILMN_1651544"	"HDAC8"	"55869"	"X"	"ENSG00000147099"	"72329516"	"72573101"
"32"	"ILMN_1651557"	"POGLUT3"	"143888"	"11"	"ENSG00000178202"	"108472112"	"108498384"
"33"	"ILMN_1651628"	"EXOC6"	"54536"	"10"	"ENSG00000138190"	"92826831"	"93059493"
"34"	"ILMN_1651642"	"GPC2"	"221914"	"7"	"ENSG00000213420"	"100169606"	"100177381"
"35"	"ILMN_1651656"	"PSG7"	"5676"	"19"	"ENSG00000221878"	"42924132"	"42937207"
"36"	"ILMN_1651684"	"KIAA0586"	"9786"	"14"	"ENSG00000100578"	"58427385"	"58551297"
"37"	"ILMN_1651692"	"STK10"	"6793"	"5"	"ENSG00000072786"	"172042079"	"172188224"
"38"	"ILMN_1651719"	"MBTPS1"	"8720"	"16"	"ENSG00000140943"	"84053761"	"84116942"
"39"	"ILMN_1651735"	"TGOLN2"	"10618"	"2"	"ENSG00000152291"	"85318020"	"85328296"
"40"	"ILMN_1651767"	"MRTFA"	"57591"	"22"	"ENSG00000196588"	"40410281"	"40636719"
"41"	"ILMN_1651776"	"FHOD1"	"29109"	"16"	"ENSG00000135723"	"67229387"	"67247481"
"42"	"ILMN_1651787"	"MSH5"	"4439"	"6"	"ENSG00000204410"	"31739677"	"31762676"
"43"	"ILMN_1651788"	"MAP3K11"	"4296"	"11"	"ENSG00000173327"	"65597756"	"65615382"
"44"	"ILMN_1651799"	"SLC38A2"	"54407"	"12"	"ENSG00000134294"	"46358188"	"46372773"
"45"	"ILMN_1651819"	"GALNT11"	"63917"	"7"	"ENSG00000178234"	"152025674"	"152122340"
"46"	"ILMN_1651826"	"BASP1"	"10409"	"5"	"ENSG00000176788"	"17065598"	"17276843"
"47"	"ILMN_1651828"	"CCT3"	"7203"	"1"	"ENSG00000163468"	"156308968"	"156367873"
"48"	"ILMN_1651832"	"EHD1"	"10938"	"11"	"ENSG00000110047"	"64851642"	"64888296"
"49"	"ILMN_1651850"	"RPS16"	"6217"	"19"	"ENSG00000105193"	"39433137"	"39435949"
"50"	"ILMN_1651872"	"UBIAD1"	"29914"	"1"	"ENSG00000120942"	"11273206"	"11296049"
"51"	"ILMN_1651886"	"CWF19L1"	"55280"	"10"	"ENSG00000095485"	"100232298"	"100267680"
"52"	"ILMN_1651936"	"KMT5A"	"387893"	"12"	"ENSG00000183955"	"123383773"	"123409353"
"53"	"ILMN_1651949"	"SCYL3"	"57147"	"1"	"ENSG00000000457"	"169849631"	"169894267"
"54"	"ILMN_1651950"	"TPST1"	"8460"	"7"	"ENSG00000169902"	"66205317"	"66420543"
"55"	"ILMN_1651964"	"ABCC5"	"10057"	"3"	"ENSG00000114770"	"183919934"	"184017939"
"56"	"ILMN_1651967"	"TP53I3"	"9540"	"2"	"ENSG00000115129"	"24077433"	"24085861"
"57"	"ILMN_1651987"	"CCDC167"	"154467"	"6"	"ENSG00000198937"	"37482938"	"37499893"
"58"	"ILMN_1652024"	"CSNK1G3"	"1456"	"5"	"ENSG00000151292"	"123512099"	"123617045"
"59"	"ILMN_1652065"	"KCNMB1"	"3779"	"5"	"ENSG00000145936"	"170374671"	"170389634"
"60"	"ILMN_1652072"	"NIM1K"	"167359"	"5"	"ENSG00000177453"	"43192071"	"43280850"
"61"	"ILMN_1652082"	"ELF4"	"2000"	"X"	"ENSG00000102034"	"130063955"	"130110716"
"62"	"ILMN_1652128"	"LMBRD1"	"55788"	"6"	"ENSG00000168216"	"69672757"	"69867236"
"63"	"ILMN_1652147"	""	NA	"10"	"ENSG00000236662"	"100980507"	"100985614"
"64"	"ILMN_1652161"	"PNKD"	"25953"	"2"	"ENSG00000127838"	"218270392"	"218346793"
"65"	"ILMN_1652163"	"DVL2"	"1856"	"17"	"ENSG00000004975"	"7225342"	"7234517"
"66"	"ILMN_1652185"	"IL4R"	"3566"	"16"	"ENSG00000077238"	"27313668"	"27364778"
"67"	"ILMN_1652207"	"COX4I1"	"1327"	"16"	"ENSG00000131143"	"85798633"	"85807068"
"68"	"ILMN_1652223"	"WDR91"	"29062"	"7"	"ENSG00000105875"	"135183839"	"135211534"
"69"	"ILMN_1652237"	"CBR3"	"874"	"21"	"ENSG00000159231"	"36135079"	"36146562"
"70"	"ILMN_1652280"	"FBXO32"	"114907"	"8"	"ENSG00000156804"	"123497889"	"123541206"
"71"	"ILMN_1652287"	"NOG"	"9241"	"17"	"ENSG00000183691"	"56593699"	"56595611"
"72"	"ILMN_1652300"	"ZNF507"	"22847"	"19"	"ENSG00000168813"	"32345594"	"32387667"
"73"	"ILMN_1652313"	"RNF215"	"200312"	"22"	"ENSG00000099999"	"30368811"	"30421771"
"74"	"ILMN_1652333"	"FN3KRP"	"79672"	"17"	"ENSG00000141560"	"82716706"	"82730328"
"75"	"ILMN_1652348"	"C4orf50"	"389197"	"4"	"ENSG00000181215"	"5897373"	"6200555"
"76"	"ILMN_1652357"	"PDHX"	"8050"	"11"	"ENSG00000110435"	"34915829"	"35020591"
"77"	"ILMN_1652371"	"KIAA1324L"	"222223"	"7"	"ENSG00000164659"	"86876906"	"87059654"
"78"	"ILMN_1652378"	"IPO7P2"	NA	"13"	"ENSG00000225674"	"24122065"	"24123814"
"79"	"ILMN_1652379"	"SUCLG2"	"8801"	"3"	"ENSG00000172340"	"67360460"	"67654614"
"80"	"ILMN_1652394"	"RAB2A"	"5862"	"8"	"ENSG00000104388"	"60516936"	"60623644"
"81"	"ILMN_1652407"	"ZMYND8"	"23613"	"20"	"ENSG00000101040"	"47209214"	"47356889"
"82"	"ILMN_1652409"	"SPATA7"	"55812"	"14"	"ENSG00000042317"	"88384924"	"88470350"
"83"	"ILMN_1652412"	"PHKB"	"5257"	"16"	"ENSG00000102893"	"47461123"	"47701523"
"84"	"ILMN_1652431"	"CA1"	"759"	"8"	"ENSG00000133742"	"85327608"	"85379014"
"85"	"ILMN_1652434"	"MTHFD2L"	"441024"	"4"	"ENSG00000163738"	"74114174"	"74303099"
"86"	"ILMN_1652445"	"RAC1"	"5879"	"7"	"ENSG00000136238"	"6374527"	"6403967"
"87"	"ILMN_1652464"	"TUBA3E"	"112714"	"2"	"ENSG00000152086"	"130191745"	"130198439"
"88"	"ILMN_1652472"	"BRAF"	"673"	"7"	"ENSG00000157764"	"140719327"	"140924928"
"89"	"ILMN_1652486"	""	NA	"22"	"ENSG00000284060"	"21002895"	"21009453"
"90"	"ILMN_1652487"	"RIOK1"	"83732"	"6"	"ENSG00000124784"	"7389793"	"7418037"
"91"	"ILMN_1652494"	"TCAF2"	"285966"	"7"	"ENSG00000170379"	"143620952"	"143730409"
"92"	"ILMN_1652505"	"APEX2"	"27301"	"X"	"ENSG00000169188"	"55000363"	"55009057"
"93"	"ILMN_1652512"	"C2CD2"	"25966"	"21"	"ENSG00000157617"	"41885112"	"41954018"
"94"	"ILMN_1652521"	"MTMR9"	"66036"	"8"	"ENSG00000104643"	"11284816"	"11328146"
"95"	"ILMN_1652525"	"MVB12B"	"89853"	"9"	"ENSG00000196814"	"126326829"	"126507041"
"96"	"ILMN_1652540"	"RELL2"	"285613"	"5"	"ENSG00000164620"	"141636950"	"141641064"
"97"	"ILMN_1652580"	""	NA	"19"	"ENSG00000142539"	"50415799"	"50428409"
"98"	"ILMN_1652594"	"ACTR5"	"79913"	"20"	"ENSG00000101442"	"38748460"	"38772520"
"99"	"ILMN_1652602"	"LMNTD2"	"256329"	"CHR_HSCHR11_1_CTG8"	"ENSG00000275873"	"554854"	"560793"
"100"	"ILMN_1652631"	"GLIPR2"	"152007"	"9"	"ENSG00000122694"	"36136536"	"36163913"
"101"	"ILMN_1652647"	"INPP4A"	"3631"	"2"	"ENSG00000040933"	"98444854"	"98594392"
"102"	"ILMN_1652677"	"FAM89A"	"375061"	"1"	"ENSG00000182118"	"231018958"	"231040254"
"103"	"ILMN_1652694"	"FAM131B"	"9715"	"7"	"ENSG00000159784"	"143353400"	"143362770"
"104"	"ILMN_1652716"	"ERI1"	"90459"	"8"	"ENSG00000104626"	"9002147"	"9116746"
"105"	"ILMN_1652722"	"ATP5MPL"	"9556"	"14"	"ENSG00000156411"	"103912288"	"103928269"
"106"	"ILMN_1652736"	"RPS6KA3"	"6197"	"X"	"ENSG00000177189"	"20149911"	"20267519"
"107"	"ILMN_1652749"	"ERF"	"2077"	"19"	"ENSG00000105722"	"42247569"	"42255128"
"108"	"ILMN_1652753"	"PAAF1"	"80227"	"11"	"ENSG00000175575"	"73876699"	"73931114"
"109"	"ILMN_1652754"	"ZNF428"	"126299"	"19"	"ENSG00000131116"	"43607224"	"43619629"
"110"	"ILMN_1652762"	"HIC2"	"23119"	"22"	"ENSG00000169635"	"21417371"	"21451463"
"111"	"ILMN_1652777"	"CDC42EP2"	"10435"	"11"	"ENSG00000149798"	"65314866"	"65322417"
"112"	"ILMN_1652787"	"PIK3AP1"	"118788"	"10"	"ENSG00000155629"	"96593315"	"96720514"
"113"	"ILMN_1652790"	"CLK1"	"1195"	"2"	"ENSG00000013441"	"200853009"	"200864744"
"114"	"ILMN_1652797"	"FAM174B"	"400451"	"15"	"ENSG00000185442"	"92617448"	"92809884"
"115"	"ILMN_1652806"	"ATP5PF"	"522"	"21"	"ENSG00000154723"	"25716503"	"25735673"
"116"	"ILMN_1652825"	"IL10RA"	"3587"	"11"	"ENSG00000110324"	"117986370"	"118003037"
"117"	"ILMN_1652872"	"UBOX5"	"22888"	"20"	"ENSG00000185019"	"3107573"	"3160196"
"118"	"ILMN_1652906"	"GBGT1"	"26301"	"9"	"ENSG00000148288"	"133152948"	"133163933"
"119"	"ILMN_1652907"	"CDC5L"	"988"	"6"	"ENSG00000096401"	"44387706"	"44450425"
"120"	"ILMN_1652913"	"EZH2"	"2146"	"7"	"ENSG00000106462"	"148807383"	"148884321"
"121"	"ILMN_1652929"	"POGZ"	"23126"	"1"	"ENSG00000143442"	"151402724"	"151459494"
"122"	"ILMN_1652975"	"DLK1"	"8788"	"14"	"ENSG00000185559"	"100725705"	"100738224"
"123"	"ILMN_1652989"	"NUP160"	"23279"	"11"	"ENSG00000030066"	"47778087"	"47848555"
"124"	"ILMN_1653001"	"CABLES1"	"91768"	"18"	"ENSG00000134508"	"23134564"	"23260467"
"125"	"ILMN_1653028"	"COL4A1"	"1282"	"13"	"ENSG00000187498"	"110148963"	"110307157"
"126"	"ILMN_1653115"	"ECH1"	"1891"	"19"	"ENSG00000104823"	"38815422"	"38831841"
"127"	"ILMN_1653129"	"CSTF2"	"1478"	"X"	"ENSG00000101811"	"100820359"	"100840932"
"128"	"ILMN_1653133"	"SH3D19"	"152503"	"4"	"ENSG00000109686"	"151102751"	"151325632"
"129"	"ILMN_1653158"	"DPRX"	"503834"	"19"	"ENSG00000204595"	"53632056"	"53637009"
"130"	"ILMN_1653165"	"AAMP"	"14"	"2"	"ENSG00000127837"	"218264123"	"218270257"
"131"	"ILMN_1653200"	"SLC22A17"	"51310"	"14"	"ENSG00000092096"	"23346306"	"23352912"
"132"	"ILMN_1653203"	"EFEMP2"	"30008"	"11"	"ENSG00000172638"	"65866441"	"65873592"
"133"	"ILMN_1653220"	"PITPNM1"	"9600"	"11"	"ENSG00000110697"	"67491768"	"67506263"
"134"	"ILMN_1653278"	"MUC20"	"200958"	"CHR_HSCHR3_1_CTG3"	"ENSG00000276583"	"195720882"	"195741123"
"135"	"ILMN_1653283"	"APP"	"351"	"21"	"ENSG00000142192"	"25880550"	"26171128"
"136"	"ILMN_1653292"	"PFKFB4"	"5210"	"3"	"ENSG00000114268"	"48517684"	"48562015"
"137"	"ILMN_1653319"	"MC1R"	"4157"	"16"	"ENSG00000258839"	"89912119"	"89920977"
"138"	"ILMN_1653342"	"DUS1L"	"64118"	"17"	"ENSG00000169718"	"82057506"	"82065887"
"139"	"ILMN_1653376"	"FAM171B"	"165215"	"2"	"ENSG00000144369"	"186694060"	"186765959"
"140"	"ILMN_1653386"	"SULT6B1"	"391365"	"2"	"ENSG00000138068"	"37167820"	"37196598"
"141"	"ILMN_1653404"	"NKIRAS2"	"28511"	"17"	"ENSG00000168256"	"42011382"	"42025644"
"142"	"ILMN_1653412"	"RAX2"	"84839"	"19"	"ENSG00000173976"	"3769089"	"3772228"
"143"	"ILMN_1653429"	"SLC35A3"	"23443"	"1"	"ENSG00000117620"	"99969351"	"100035634"
"144"	"ILMN_1653432"	"HNRNPDL"	"9987"	"4"	"ENSG00000152795"	"82422564"	"82430408"
"145"	"ILMN_1653438"	"PHF14"	"9678"	"7"	"ENSG00000106443"	"10973336"	"11169630"
"146"	"ILMN_1653443"	"CDK2"	"1017"	"12"	"ENSG00000123374"	"55966781"	"55972789"
"147"	"ILMN_1653463"	"SULT1C3"	"442038"	"2"	"ENSG00000196228"	"108247195"	"108265351"
"148"	"ILMN_1653466"	"HES4"	"57801"	"1"	"ENSG00000188290"	"998962"	"1000172"
"149"	"ILMN_1653480"	"CCDC125"	"202243"	"CHR_HSCHR5_2_CTG1_1"	"ENSG00000277868"	"69281282"	"69332741"
"150"	"ILMN_1653496"	"GLUL"	"2752"	"1"	"ENSG00000135821"	"182378098"	"182392206"
"151"	"ILMN_1653501"	"SEMA3B"	"7869"	"3"	"ENSG00000012171"	"50267558"	"50277546"
"152"	"ILMN_1653504"	"S1PR1"	"1901"	"1"	"ENSG00000170989"	"101236865"	"101243713"
"153"	"ILMN_1653529"	"TEX10"	"54881"	"9"	"ENSG00000136891"	"100302077"	"100352942"
"154"	"ILMN_1653591"	"TRIM40"	"135644"	"6"	"ENSG00000204614"	"30136124"	"30148735"
"155"	"ILMN_1653599"	"ATP5F1D"	"513"	"19"	"ENSG00000099624"	"1241746"	"1244825"
"156"	"ILMN_1653612"	"KCTD9"	"54793"	"8"	"ENSG00000104756"	"25427847"	"25458476"
"157"	"ILMN_1653613"	"PIGO"	"84720"	"9"	"ENSG00000165282"	"35088688"	"35096601"
"158"	"ILMN_1653646"	"UBL7"	"84993"	"15"	"ENSG00000138629"	"74445977"	"74461182"
"159"	"ILMN_1653708"	"CORO1B"	"57175"	"11"	"ENSG00000172725"	"67435510"	"67443821"
"160"	"ILMN_1653709"	"TIMM9"	"26520"	"14"	"ENSG00000100575"	"58408495"	"58427531"
"161"	"ILMN_1653711"	"FZD2"	"2535"	"17"	"ENSG00000180340"	"44557484"	"44561262"
"162"	"ILMN_1653718"	"ZFAND2B"	"130617"	"2"	"ENSG00000158552"	"219195237"	"219209651"
"163"	"ILMN_1653728"	"ERBB4"	"2066"	"2"	"ENSG00000178568"	"211375717"	"212538841"
"164"	"ILMN_1653793"	"PDPK1"	"5170"	"16"	"ENSG00000140992"	"2537979"	"2603188"
"165"	"ILMN_1653824"	"LAMC2"	"3918"	"1"	"ENSG00000058085"	"183186238"	"183245127"
"166"	"ILMN_1653828"	"CHFR"	"55743"	"12"	"ENSG00000072609"	"132822187"	"132956304"
"167"	"ILMN_1653856"	"UBASH3B"	"84959"	"11"	"ENSG00000154127"	"122655722"	"122814473"
"168"	"ILMN_1653861"	"SCMH1"	"22955"	"1"	"ENSG00000010803"	"41027200"	"41242154"
"169"	"ILMN_1653871"	"NAMPT"	"10135"	"7"	"ENSG00000105835"	"106248298"	"106286326"
"170"	"ILMN_1653896"	"TREX1"	"11277"	"3"	"ENSG00000213689"	"48465811"	"48467645"
"171"	"ILMN_1654010"	"AGPAT3"	"56894"	"21"	"ENSG00000160216"	"43865223"	"43987592"
"172"	"ILMN_1654013"	"HID1"	"283987"	"17"	"ENSG00000167861"	"74950742"	"74973166"
"173"	"ILMN_1654016"	"MYL12B"	"103910"	"18"	"ENSG00000118680"	"3261479"	"3278431"
"174"	"ILMN_1654032"	"ZER1"	"10444"	"9"	"ENSG00000160445"	"128729786"	"128772414"
"175"	"ILMN_1654060"	"MKNK2"	"2872"	"19"	"ENSG00000099875"	"2037465"	"2051244"
"176"	"ILMN_1654068"	"NUDT1"	"4521"	"7"	"ENSG00000106268"	"2242222"	"2251146"
"177"	"ILMN_1654072"	"CX3CL1"	"6376"	"16"	"ENSG00000006210"	"57372477"	"57385044"
"178"	"ILMN_1654099"	"LRIG2"	"9860"	"1"	"ENSG00000198799"	"113073198"	"113132260"
"179"	"ILMN_1654109"	"EGFLAM"	"133584"	"5"	"ENSG00000164318"	"38258409"	"38465480"
"180"	"ILMN_1654112"	"CARMIL2"	"146206"	"16"	"ENSG00000159753"	"67644988"	"67657569"
"181"	"ILMN_1654118"	"BCL2L1"	"598"	"20"	"ENSG00000171552"	"31664452"	"31723989"
"182"	"ILMN_1654141"	"ZDHHC20"	"253832"	"13"	"ENSG00000180776"	"21372573"	"21459370"
"183"	"ILMN_1654151"	"COX6C"	"1345"	"8"	"ENSG00000164919"	"99873200"	"99893707"
"184"	"ILMN_1654217"	"MPP2"	"4355"	"17"	"ENSG00000108852"	"43875357"	"43909711"
"185"	"ILMN_1654287"	"ADCY9"	"115"	"16"	"ENSG00000162104"	"3953387"	"4116442"
"186"	"ILMN_1654289"	"ELK1"	"2002"	"X"	"ENSG00000126767"	"47635521"	"47650604"
"187"	"ILMN_1654318"	"PTPN23"	"25930"	"3"	"ENSG00000076201"	"47381011"	"47413435"
"188"	"ILMN_1654322"	"ATP1B3"	"483"	"3"	"ENSG00000069849"	"141876124"	"141926549"
"189"	"ILMN_1654324"	"HEYL"	"26508"	"1"	"ENSG00000163909"	"39623435"	"39639643"
"190"	"ILMN_1654357"	"ZNF24"	"7572"	"18"	"ENSG00000172466"	"35332227"	"35345482"
"191"	"ILMN_1654370"	"TESK2"	"10420"	"1"	"ENSG00000070759"	"45343883"	"45491163"
"192"	"ILMN_1654385"	"ASB13"	"79754"	"10"	"ENSG00000196372"	"5638867"	"5666595"
"193"	"ILMN_1654392"	"KHNYN"	"23351"	"14"	"ENSG00000100441"	"24429286"	"24441843"
"194"	"ILMN_1654398"	"RGL1"	"23179"	"1"	"ENSG00000143344"	"183636085"	"183928531"
"195"	"ILMN_1654414"	"ACSL3"	"2181"	"2"	"ENSG00000123983"	"222860942"	"222944639"
"196"	"ILMN_1654422"	"ACTN2"	"88"	"1"	"ENSG00000077522"	"236664141"	"236764631"
"197"	"ILMN_1654466"	"PLAC4"	NA	"21"	"ENSG00000280109"	"41175231"	"41186788"
"198"	"ILMN_1654488"	"KDM6A"	"7403"	"X"	"ENSG00000147050"	"44873177"	"45112779"
"199"	"ILMN_1654516"	"TMEM120A"	"83862"	"7"	"ENSG00000189077"	"75986831"	"75994656"
"200"	"ILMN_1654542"	"FAM172A"	"83989"	"5"	"ENSG00000113391"	"93617725"	"94111699"
"201"	"ILMN_1654543"	"MED6"	"10001"	"14"	"ENSG00000133997"	"70581257"	"70600690"
"202"	"ILMN_1654545"	"CPSF1"	"29894"	"8"	"ENSG00000071894"	"144393229"	"144409335"
"203"	"ILMN_1654552"	"MRPS31"	"10240"	"13"	"ENSG00000102738"	"40729128"	"40771190"
"204"	"ILMN_1654563"	"EFNB1"	"1947"	"X"	"ENSG00000090776"	"68829021"	"68842160"
"205"	"ILMN_1654566"	"HSPA1L"	"3305"	"CHR_HSCHR6_MHC_QBL_CTG1"	"ENSG00000206383"	"31799855"	"31805300"
"206"	"ILMN_1654583"	"CHD1"	"1105"	"5"	"ENSG00000153922"	"98853985"	"98928957"
"207"	"ILMN_1654612"	"ZNF589"	"51385"	"3"	"ENSG00000164048"	"48241100"	"48299253"
"208"	"ILMN_1654629"	"TMEM175"	"84286"	"4"	"ENSG00000127419"	"932387"	"958656"
"209"	"ILMN_1654639"	"HERC6"	"55008"	"4"	"ENSG00000138642"	"88378739"	"88443097"
"210"	"ILMN_1654653"	"KLC1"	"3831"	"14"	"ENSG00000126214"	"103561896"	"103714249"
"211"	"ILMN_1654689"	"ZNF197"	"10168"	"3"	"ENSG00000186448"	"44584888"	"44648471"
"212"	"ILMN_1654690"	"HDHD5"	"27440"	"22"	"ENSG00000069998"	"17137511"	"17165287"
"213"	"ILMN_1654696"	"C15orf48"	"84419"	"15"	"ENSG00000166920"	"45430529"	"45448761"
"214"	"ILMN_1654737"	"TRIM32"	"22954"	"9"	"ENSG00000119401"	"116687302"	"116701300"
"215"	"ILMN_1654773"	"CASK"	"8573"	"X"	"ENSG00000147044"	"41514934"	"41923645"
"216"	"ILMN_1654823"	"RPL23AP7"	NA	"2"	"ENSG00000240356"	"113610502"	"113627090"
"217"	"ILMN_1654851"	"RETREG2"	"79137"	"2"	"ENSG00000144567"	"219176225"	"219185475"
"218"	"ILMN_1654854"	"CAVIN4"	"347273"	"9"	"ENSG00000170681"	"100578079"	"100588389"
"219"	"ILMN_1654861"	"ACO2"	"50"	"22"	"ENSG00000100412"	"41469117"	"41528989"
"220"	"ILMN_1654864"	"BROX"	"148362"	"1"	"ENSG00000162819"	"222712553"	"222735196"
"221"	"ILMN_1654866"	"RANBP2"	"5903"	"2"	"ENSG00000153201"	"108719482"	"108785809"
"222"	"ILMN_1654875"	"CLC"	"1178"	"19"	"ENSG00000105205"	"39731255"	"39738029"
"223"	"ILMN_1654890"	"LENG8"	"114823"	"CHR_HSCHR19LRC_COX1_CTG3_1"	"ENSG00000276458"	"54380864"	"54394163"
"224"	"ILMN_1654893"	"SCAMP2"	"10066"	"15"	"ENSG00000140497"	"74843730"	"74873365"
"225"	"ILMN_1654920"	"HNRNPH3"	"3189"	"10"	"ENSG00000096746"	"68331174"	"68343191"
"226"	"ILMN_1654939"	"TMED2"	"10959"	"12"	"ENSG00000086598"	"123584533"	"123598582"
"227"	"ILMN_1654945"	"DNMT3A"	"1788"	"2"	"ENSG00000119772"	"25227855"	"25342590"
"228"	"ILMN_1654946"	"ZSCAN18"	"65982"	"19"	"ENSG00000121413"	"58083838"	"58118427"
"229"	"ILMN_1654966"	"SCARA3"	"51435"	"8"	"ENSG00000168077"	"27633868"	"27676776"
"230"	"ILMN_1655046"	"NUTF2"	"10204"	"16"	"ENSG00000102898"	"67846923"	"67872567"
"231"	"ILMN_1655068"	"TOM1L2"	"146691"	"17"	"ENSG00000175662"	"17843511"	"17972422"
"232"	"ILMN_1655077"	"PRDM1"	"639"	"6"	"ENSG00000057657"	"105993463"	"106109939"
"233"	"ILMN_1655117"	"WDR19"	"57728"	"4"	"ENSG00000157796"	"39182504"	"39285810"
"234"	"ILMN_1655137"	"TUT4"	"23318"	"1"	"ENSG00000134744"	"52408282"	"52553487"
"235"	"ILMN_1655154"	"PTBP1"	"5725"	"19"	"ENSG00000011304"	"797075"	"812327"
"236"	"ILMN_1655163"	"STK24"	"8428"	"13"	"ENSG00000102572"	"98445185"	"98577940"
"237"	"ILMN_1655165"	"RNF138"	"51444"	"18"	"ENSG00000134758"	"32091874"	"32131561"
"238"	"ILMN_1655167"	"ZNF502"	"91392"	"3"	"ENSG00000196653"	"44712643"	"44723831"
"239"	"ILMN_1655177"	"PI4KA"	"5297"	"22"	"ENSG00000241973"	"20707691"	"20859417"
"240"	"ILMN_1655191"	"CASZ1"	"54897"	"1"	"ENSG00000130940"	"10636604"	"10796650"
"241"	"ILMN_1655194"	"JADE1"	"79960"	"4"	"ENSG00000077684"	"128809700"	"128875224"
"242"	"ILMN_1655225"	"C19orf25"	"148223"	"19"	"ENSG00000119559"	"1461143"	"1479219"
"243"	"ILMN_1655261"	"ERP27"	"121506"	"12"	"ENSG00000139055"	"14914039"	"14938537"
"244"	"ILMN_1655296"	"UTRN"	"7402"	"6"	"ENSG00000152818"	"144285701"	"144853034"
"245"	"ILMN_1655307"	"FAM136A"	"84908"	"2"	"ENSG00000035141"	"70295975"	"70302090"
"246"	"ILMN_1655329"	"RIOK2"	"55781"	"5"	"ENSG00000058729"	"97160867"	"97183247"
"247"	"ILMN_1655340"	"RNF181"	"51255"	"2"	"ENSG00000168894"	"85595725"	"85597708"
"248"	"ILMN_1655377"	"MRPS22"	"56945"	"3"	"ENSG00000175110"	"139005806"	"139357223"
"249"	"ILMN_1655418"	"CAPNS1"	"826"	"19"	"ENSG00000126247"	"36139953"	"36150353"
"250"	"ILMN_1655422"	"RPL17"	"6139"	"18"	"ENSG00000265681"	"49488453"	"49492523"
"251"	"ILMN_1655429"	"TNFAIP1"	"7126"	"17"	"ENSG00000109079"	"28335602"	"28347009"
